Fitur,Permutation_Importance
Curricular_units_2nd_sem_approved,0.22548209366391186
Curricular_units_2nd_sem_grade,0.10426997245179066
Curricular_units_2nd_sem_enrolled,0.06060606060606063
Tuition_fees_up_to_date_1,0.05757575757575763
Curricular_units_1st_sem_approved,0.04517906336088158
Age_at_enrollment,0.009779614325068886
Admission_grade,0.008264462809917383
Curricular_units_2nd_sem_evaluations,0.008126721763085432
Previous_qualification_grade,0.0060606060606061
Curricular_units_1st_sem_grade,0.005647382920110222
